country,date,Forest area (sq. km)
United States,2022-01-01,3097950.0
United States,2021-01-01,3097950.0
United States,2020-01-01,3097950.0
United States,2019-01-01,3097950.0
United States,2018-01-01,3097950.0
United States,2017-01-01,3097950.0
United States,2016-01-01,3100950.0
United States,2015-01-01,3100950.0
United States,2014-01-01,3098200.0
United States,2013-01-01,3095450.0
United States,2012-01-01,3092700.0
United States,2011-01-01,3089950.0
United States,2010-01-01,3087200.0
United States,2009-01-01,3082016.0
United States,2008-01-01,3076832.0
United States,2007-01-01,3071648.0
United States,2006-01-01,3066464.0
United States,2005-01-01,3061280.0
United States,2004-01-01,3056096.0
United States,2003-01-01,3050912.0
United States,2002-01-01,3045728.0
United States,2001-01-01,3040544.0
United States,2000-01-01,3035360.0
United States,1999-01-01,3034274.0
United States,1998-01-01,3033188.0
United States,1997-01-01,3032102.0
United States,1996-01-01,3031016.0
United States,1995-01-01,3029930.0
United States,1994-01-01,3028844.0
United States,1993-01-01,3027758.0
United States,1992-01-01,3026672.0
United States,1991-01-01,3025586.0
United States,1990-01-01,3024500.0
United States,1989-01-01,
United States,1988-01-01,
United States,1987-01-01,
United States,1986-01-01,
United States,1985-01-01,
United States,1984-01-01,
United States,1983-01-01,
United States,1982-01-01,
United States,1981-01-01,
United States,1980-01-01,
United States,1979-01-01,
United States,1978-01-01,
United States,1977-01-01,
United States,1976-01-01,
United States,1975-01-01,
United States,1974-01-01,
United States,1973-01-01,
United States,1972-01-01,
United States,1971-01-01,
United States,1970-01-01,
United States,1969-01-01,
United States,1968-01-01,
United States,1967-01-01,
United States,1966-01-01,
United States,1965-01-01,
United States,1964-01-01,
United States,1963-01-01,
United States,1962-01-01,
United States,1961-01-01,
United States,1960-01-01,
